Categoria,Série,Data de Início,Hora de Início,Data Final,Hora de Término,Valor,Unidade de Medida
Temperatura Máxima do Óleo Hidráulico,Temperatura,12 set 2023,00:00,12 set 2023,23:59,34.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,13 set 2023,00:00,13 set 2023,23:59,26.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,14 set 2023,00:00,14 set 2023,23:59,30.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,19 set 2023,00:00,19 set 2023,23:59,25.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,25 set 2023,00:00,25 set 2023,23:59,29.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,27 set 2023,00:00,27 set 2023,23:59,32.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,28 set 2023,00:00,28 set 2023,23:59,23.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,29 set 2023,00:00,29 set 2023,23:59,24.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,2 out 2023,00:00,2 out 2023,23:59,28.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,4 out 2023,00:00,4 out 2023,23:59,27.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,6 out 2023,00:00,6 out 2023,23:59,63.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,7 out 2023,00:00,7 out 2023,23:59,64.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,8 out 2023,00:00,8 out 2023,23:59,66.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,9 out 2023,00:00,9 out 2023,23:59,65.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,10 out 2023,00:00,10 out 2023,23:59,66.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,11 out 2023,00:00,11 out 2023,23:59,66.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,12 out 2023,00:00,12 out 2023,23:59,64.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,13 out 2023,00:00,13 out 2023,23:59,67.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,14 out 2023,00:00,14 out 2023,23:59,66.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,16 out 2023,00:00,16 out 2023,23:59,67.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,17 out 2023,00:00,17 out 2023,23:59,67.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,18 out 2023,00:00,18 out 2023,23:59,66.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,19 out 2023,00:00,19 out 2023,23:59,64.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,20 out 2023,00:00,20 out 2023,23:59,65.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,21 out 2023,00:00,21 out 2023,23:59,60.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,22 out 2023,00:00,22 out 2023,23:59,64.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,23 out 2023,00:00,23 out 2023,23:59,60.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,24 out 2023,00:00,24 out 2023,23:59,58.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,25 out 2023,00:00,25 out 2023,23:59,66.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,26 out 2023,00:00,26 out 2023,23:59,59.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,27 out 2023,00:00,27 out 2023,23:59,64.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,28 out 2023,00:00,28 out 2023,23:59,49.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,30 out 2023,00:00,30 out 2023,23:59,36.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,3 nov 2023,00:00,3 nov 2023,23:59,31.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,4 nov 2023,00:00,4 nov 2023,23:59,61.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,5 nov 2023,00:00,5 nov 2023,23:59,65.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,6 nov 2023,00:00,6 nov 2023,23:59,55.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,7 nov 2023,00:00,7 nov 2023,23:59,59.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,8 nov 2023,00:00,8 nov 2023,23:59,65.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,9 nov 2023,00:00,9 nov 2023,23:59,66.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,10 nov 2023,00:00,10 nov 2023,23:59,62.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,11 nov 2023,00:00,11 nov 2023,23:59,49.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,13 nov 2023,00:00,13 nov 2023,23:59,58.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,14 nov 2023,00:00,14 nov 2023,23:59,62.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,15 nov 2023,00:00,15 nov 2023,23:59,57.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,16 nov 2023,00:00,16 nov 2023,23:59,48.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,17 nov 2023,00:00,17 nov 2023,23:59,61.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,18 nov 2023,00:00,18 nov 2023,23:59,64.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,19 nov 2023,00:00,19 nov 2023,23:59,64.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,20 nov 2023,00:00,20 nov 2023,23:59,59.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,21 nov 2023,00:00,21 nov 2023,23:59,61.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,22 nov 2023,00:00,22 nov 2023,23:59,60.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,23 nov 2023,00:00,23 nov 2023,23:59,61.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,27 nov 2023,00:00,27 nov 2023,23:59,67.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,28 nov 2023,00:00,28 nov 2023,23:59,63.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,30 nov 2023,00:00,30 nov 2023,23:59,68.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,1 dez 2023,00:00,1 dez 2023,23:59,62.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,2 dez 2023,00:00,2 dez 2023,23:59,63.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,3 dez 2023,00:00,3 dez 2023,23:59,64.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,4 dez 2023,00:00,4 dez 2023,23:59,66.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,5 dez 2023,00:00,5 dez 2023,23:59,65.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,6 dez 2023,00:00,6 dez 2023,23:59,27.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,8 dez 2023,00:00,8 dez 2023,23:59,58.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,9 dez 2023,00:00,9 dez 2023,23:59,64.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,10 dez 2023,00:00,10 dez 2023,23:59,61.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,11 dez 2023,00:00,11 dez 2023,23:59,65.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,12 dez 2023,00:00,12 dez 2023,23:59,61.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,13 dez 2023,00:00,13 dez 2023,23:59,63.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,14 dez 2023,00:00,14 dez 2023,23:59,30.0,C
