Categoria,Série,Data de Início,Hora de Início,Data Final,Hora de Término,Valor,Unidade de Medida
Uso do Motor,Carga Baixa,23 jun 2023,00:00,23 jun 2023,23:59,0.09,hr
Uso do Motor,Marcha Lenta,23 jun 2023,00:00,23 jun 2023,23:59,0.25,hr
Uso do Motor,Carga Alta,23 jun 2023,00:00,23 jun 2023,23:59,0.0,hr
Uso do Motor,Carga Média,23 jun 2023,00:00,23 jun 2023,23:59,0.0,hr
Uso do Motor,Chave-Ligada,23 jun 2023,00:00,23 jun 2023,23:59,0.04,hr
Uso do Motor,Carga Baixa,1 jul 2023,00:00,1 jul 2023,23:59,0.02,hr
Uso do Motor,Marcha Lenta,1 jul 2023,00:00,1 jul 2023,23:59,0.02,hr
Uso do Motor,Carga Alta,1 jul 2023,00:00,1 jul 2023,23:59,0.0,hr
Uso do Motor,Carga Média,1 jul 2023,00:00,1 jul 2023,23:59,0.0,hr
Uso do Motor,Chave-Ligada,1 jul 2023,00:00,1 jul 2023,23:59,0.05,hr
Uso do Motor,Carga Baixa,3 jul 2023,00:00,3 jul 2023,23:59,0.22,hr
Uso do Motor,Marcha Lenta,3 jul 2023,00:00,3 jul 2023,23:59,0.13,hr
Uso do Motor,Carga Alta,3 jul 2023,00:00,3 jul 2023,23:59,0.0,hr
Uso do Motor,Carga Média,3 jul 2023,00:00,3 jul 2023,23:59,0.0,hr
Uso do Motor,Chave-Ligada,3 jul 2023,00:00,3 jul 2023,23:59,0.07,hr
Uso do Motor,Carga Baixa,4 jul 2023,00:00,4 jul 2023,23:59,0.02,hr
Uso do Motor,Marcha Lenta,4 jul 2023,00:00,4 jul 2023,23:59,0.39,hr
Uso do Motor,Carga Alta,4 jul 2023,00:00,4 jul 2023,23:59,0.0,hr
Uso do Motor,Carga Média,4 jul 2023,00:00,4 jul 2023,23:59,0.0,hr
Uso do Motor,Chave-Ligada,4 jul 2023,00:00,4 jul 2023,23:59,0.1,hr
Uso do Motor,Carga Baixa,5 jul 2023,00:00,5 jul 2023,23:59,0.0,hr
Uso do Motor,Marcha Lenta,5 jul 2023,00:00,5 jul 2023,23:59,0.0,hr
Uso do Motor,Carga Alta,5 jul 2023,00:00,5 jul 2023,23:59,0.0,hr
Uso do Motor,Carga Média,5 jul 2023,00:00,5 jul 2023,23:59,0.0,hr
Uso do Motor,Chave-Ligada,5 jul 2023,00:00,5 jul 2023,23:59,0.03,hr
Uso do Combustível do Motor,Carga Baixa,23 jun 2023,00:00,23 jun 2023,23:59,0.51,l
Uso do Combustível do Motor,Marcha Lenta,23 jun 2023,00:00,23 jun 2023,23:59,0.76,l
Uso do Combustível do Motor,Carga Alta,23 jun 2023,00:00,23 jun 2023,23:59,0.01,l
Uso do Combustível do Motor,Carga Média,23 jun 2023,00:00,23 jun 2023,23:59,0.08,l
Uso do Combustível do Motor,Chave-Ligada,23 jun 2023,00:00,23 jun 2023,23:59,0.0,l
Uso do Combustível do Motor,Carga Baixa,1 jul 2023,00:00,1 jul 2023,23:59,0.21,l
Uso do Combustível do Motor,Marcha Lenta,1 jul 2023,00:00,1 jul 2023,23:59,0.06,l
Uso do Combustível do Motor,Carga Alta,1 jul 2023,00:00,1 jul 2023,23:59,0.0,l
Uso do Combustível do Motor,Carga Média,1 jul 2023,00:00,1 jul 2023,23:59,0.04,l
Uso do Combustível do Motor,Chave-Ligada,1 jul 2023,00:00,1 jul 2023,23:59,0.0,l
Uso do Combustível do Motor,Carga Baixa,3 jul 2023,00:00,3 jul 2023,23:59,0.79,l
Uso do Combustível do Motor,Marcha Lenta,3 jul 2023,00:00,3 jul 2023,23:59,0.32,l
Uso do Combustível do Motor,Carga Alta,3 jul 2023,00:00,3 jul 2023,23:59,0.01,l
Uso do Combustível do Motor,Carga Média,3 jul 2023,00:00,3 jul 2023,23:59,0.02,l
Uso do Combustível do Motor,Chave-Ligada,3 jul 2023,00:00,3 jul 2023,23:59,0.0,l
Uso do Combustível do Motor,Carga Baixa,4 jul 2023,00:00,4 jul 2023,23:59,0.1,l
Uso do Combustível do Motor,Marcha Lenta,4 jul 2023,00:00,4 jul 2023,23:59,0.88,l
Uso do Combustível do Motor,Carga Alta,4 jul 2023,00:00,4 jul 2023,23:59,0.02,l
Uso do Combustível do Motor,Carga Média,4 jul 2023,00:00,4 jul 2023,23:59,0.04,l
Uso do Combustível do Motor,Chave-Ligada,4 jul 2023,00:00,4 jul 2023,23:59,0.0,l
Uso do Combustível do Motor,Carga Baixa,5 jul 2023,00:00,5 jul 2023,23:59,0.0,l
Uso do Combustível do Motor,Marcha Lenta,5 jul 2023,00:00,5 jul 2023,23:59,0.0,l
Uso do Combustível do Motor,Carga Alta,5 jul 2023,00:00,5 jul 2023,23:59,0.0,l
Uso do Combustível do Motor,Carga Média,5 jul 2023,00:00,5 jul 2023,23:59,0.0,l
Uso do Combustível do Motor,Chave-Ligada,5 jul 2023,00:00,5 jul 2023,23:59,0.0,l
Combustível Consumido,Consumo de combustível,23 jun 2023,00:00,23 jun 2023,23:59,1.37,l
Combustível Consumido,Consumo de combustível,1 jul 2023,00:00,1 jul 2023,23:59,0.3,l
Combustível Consumido,Consumo de combustível,3 jul 2023,00:00,3 jul 2023,23:59,1.14,l
Combustível Consumido,Consumo de combustível,4 jul 2023,00:00,4 jul 2023,23:59,1.05,l
